id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31116681,Private double room in Oporto,55137318,Portfólio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14964,-8.61987,Private room,35,1,1,31/12/2019,0.07,13,365
31117335,Private double room in Oporto,55137318,Portfólio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14819,-8.61996,Private room,35,1,0,,,13,365
31117728,Private double room in Oporto,55137318,Portfólio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14843,-8.62,Private room,35,1,0,,,13,365
31117888,Private double room in Oporto,55137318,Portfólio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1496,-8.62151,Private room,35,1,0,,,13,365
31120273,São Domingos Flowers Apt.- Rose - 1º Traseiras,127645142,Liliana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14402,-8.61463,Entire home/apt,40,1,31,11/10/2020,1.35,4,16
31121366,Oporto Vasconcelos Guest House,232585952,Isabel,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12259,-8.60759,Entire home/apt,30,1,42,13/10/2020,1.62,1,351
31125030,"Apt near Casa da Música, Pal. de Cristal, Porto",219061617,Camille,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15466,-8.62538,Entire home/apt,80,2,3,30/09/2019,0.14,1,0
31135824,Camões Executive Flat (w/ Air conditioning),124060965,Lurdes E Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15686,-8.60934,Entire home/apt,30,2,50,20/01/2021,2,4,270
31139192,Boutique House seaside,71462344,Scandic Place,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18541,-8.69127,Private room,32,2,3,22/09/2019,0.16,7,309
31140498,Living with Angels,84735504,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1486,-8.60375,Entire home/apt,45,2,14,08/08/2020,0.64,6,270
31140820,My Home is My  Kitchen,84735504,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14798,-8.60312,Entire home/apt,95,2,16,01/01/2020,0.62,6,270
31141997,Gil Vicente Charming Guest House - 0.2,201825951,Belina,PORTO,Bonfim,41.16155,-8.60244,Entire home/apt,60,3,31,20/03/2020,1.49,8,1
31142159,Studio Douro Gaia-Porto,171488444,Joana E Fabio,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14311,-8.63767,Entire home/apt,30,10,17,01/04/2020,0.7,1,0
31142716,"Porto Home - The Artist, your home with garden!",232762902,Porto,PORTO,Paranhos,41.17022,-8.61896,Entire home/apt,90,2,7,10/10/2019,0.28,3,322
31143181,Casa das Marés!,232770090,Marga,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18855,-8.70267,Entire home/apt,73,2,28,09/09/2019,1.12,1,0
31148588,Trindade central 1 bedroom apartment,89383433,Daniela E Lisa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1522,-8.61138,Entire home/apt,46,2,2,22/09/2019,0.09,11,364
31163645,Douro Dreams GuestHouse - Duplo Standard,232487500,Douro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15024,-8.62097,Private room,50,1,3,20/10/2019,0.16,3,364
31167162,Porto Home - The Upper Floor with balcony!,232762902,Porto,PORTO,Paranhos,41.1698,-8.61937,Entire home/apt,115,2,8,14/10/2019,0.32,3,322
31167479,🌳☀️OASIS in City CENTER!🍋LemonTree Garden & Cottage,205776921,Ana & Daniel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14537,-8.60411,Entire home/apt,25,1,122,06/02/2021,4.76,10,178
31174120,Bonjardim City Flats - Sunny Garden,164595585,Nomad City Flats,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15951,-8.60674,Entire home/apt,77,2,3,20/07/2019,0.13,32,365
31181934,Porto Art District-Cedofeita-Breiner House,233104372,Christina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15176,-8.61985,Entire home/apt,29,3,33,02/01/2020,1.41,1,365
31189553,DA'Home - Boavista Brightful Apartment,148125813,DA'Home,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15844,-8.62675,Entire home/apt,38,2,65,01/02/2021,2.57,11,346
31192472,"MoHo Place, Downtown",54040900,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14354,-8.61296,Entire home/apt,46,2,69,19/01/2021,2.82,16,365
31204272,3AS,178433659,Adriana,MAIA,Moreira,41.23432,-8.65656,Private room,50,1,18,21/09/2019,0.79,2,44
31205947,DA'Home - Boavista Beautiful Apartment,148125813,DA'Home,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15738,-8.62889,Entire home/apt,35,2,40,30/01/2021,1.57,11,326
